size,difficulty,board_name,algo,heuristic,time(s),steps,timeout
6,easy:1,6:easy:1,BFS,N/A,3e-05,1,False
6,easy:1,6:easy:1,BFS,N/A,4.3e-05,1,False
6,easy:1,6:easy:1,BFS,N/A,3.2e-05,1,False
6,easy:1,6:easy:1,DFS,N/A,2.3e-05,1,False
6,easy:1,6:easy:1,DFS,N/A,2.1e-05,1,False
6,easy:1,6:easy:1,DFS,N/A,2.1e-05,1,False
6,easy:1,6:easy:1,IDS,N/A,2.5e-05,1,False
6,easy:1,6:easy:1,IDS,N/A,2.6e-05,1,False
6,easy:1,6:easy:1,IDS,N/A,2.6e-05,1,False
6,easy:1,6:easy:1,GREEDY,adjacency,2.8e-05,1,False
6,easy:1,6:easy:1,GREEDY,adjacency,2.8e-05,1,False
6,easy:1,6:easy:1,GREEDY,adjacency,2.9e-05,1,False
6,easy:2,6:easy:2,BFS,N/A,8e-05,3,False
6,easy:2,6:easy:2,BFS,N/A,4.7e-05,3,False
6,easy:2,6:easy:2,BFS,N/A,4.6e-05,3,False
6,easy:2,6:easy:2,DFS,N/A,7e-05,18,False
6,easy:2,6:easy:2,DFS,N/A,6.9e-05,18,False
6,easy:2,6:easy:2,DFS,N/A,7.1e-05,18,False
6,easy:2,6:easy:2,IDS,N/A,4.8e-05,3,False
6,easy:2,6:easy:2,IDS,N/A,4.7e-05,3,False
6,easy:2,6:easy:2,IDS,N/A,5.1e-05,3,False
6,easy:2,6:easy:2,GREEDY,adjacency,0.000156,3,False
6,easy:2,6:easy:2,GREEDY,adjacency,0.000155,3,False
6,easy:2,6:easy:2,GREEDY,adjacency,0.000157,3,False
6,easy:3,6:easy:3,BFS,N/A,6.7e-05,3,False
6,easy:3,6:easy:3,BFS,N/A,6.3e-05,3,False
6,easy:3,6:easy:3,BFS,N/A,6.2e-05,3,False
6,easy:3,6:easy:3,DFS,N/A,0.000174,46,False
6,easy:3,6:easy:3,DFS,N/A,0.000199,46,False
6,easy:3,6:easy:3,DFS,N/A,0.000171,46,False
6,easy:3,6:easy:3,IDS,N/A,6.2e-05,3,False
6,easy:3,6:easy:3,IDS,N/A,6.3e-05,3,False
6,easy:3,6:easy:3,IDS,N/A,6.3e-05,3,False
6,easy:3,6:easy:3,GREEDY,adjacency,0.00017,3,False
6,easy:3,6:easy:3,GREEDY,adjacency,0.000166,3,False
6,easy:3,6:easy:3,GREEDY,adjacency,0.00017,3,False
6,medium:1,6:medium:1,BFS,N/A,0.000162,5,False
6,medium:1,6:medium:1,BFS,N/A,0.000172,5,False
6,medium:1,6:medium:1,BFS,N/A,0.00016,5,False
6,medium:1,6:medium:1,DFS,N/A,0.00061,238,False
6,medium:1,6:medium:1,DFS,N/A,0.000637,238,False
6,medium:1,6:medium:1,DFS,N/A,0.000607,238,False
6,medium:1,6:medium:1,IDS,N/A,0.000128,5,False
6,medium:1,6:medium:1,IDS,N/A,0.000125,5,False
6,medium:1,6:medium:1,IDS,N/A,0.000134,5,False
6,medium:1,6:medium:1,GREEDY,adjacency,0.0006,5,False
6,medium:1,6:medium:1,GREEDY,adjacency,0.000551,5,False
6,medium:1,6:medium:1,GREEDY,adjacency,0.000564,5,False
6,medium:2,6:medium:2,BFS,N/A,0.000224,6,False
6,medium:2,6:medium:2,BFS,N/A,0.000218,6,False
6,medium:2,6:medium:2,BFS,N/A,0.00022,6,False
6,medium:2,6:medium:2,DFS,N/A,0.000614,243,False
6,medium:2,6:medium:2,DFS,N/A,0.000622,243,False
6,medium:2,6:medium:2,DFS,N/A,0.000607,243,False
6,medium:2,6:medium:2,IDS,N/A,0.000194,6,False
6,medium:2,6:medium:2,IDS,N/A,0.000194,6,False
6,medium:2,6:medium:2,IDS,N/A,0.000192,6,False
6,medium:2,6:medium:2,GREEDY,adjacency,0.000582,6,False
6,medium:2,6:medium:2,GREEDY,adjacency,0.000551,6,False
6,medium:2,6:medium:2,GREEDY,adjacency,0.000566,6,False
6,medium:3,6:medium:3,BFS,N/A,0.000387,7,False
6,medium:3,6:medium:3,BFS,N/A,0.000381,7,False
6,medium:3,6:medium:3,BFS,N/A,0.000381,7,False
6,medium:3,6:medium:3,DFS,N/A,0.000612,241,False
6,medium:3,6:medium:3,DFS,N/A,0.000643,241,False
6,medium:3,6:medium:3,DFS,N/A,0.00062,241,False
6,medium:3,6:medium:3,IDS,N/A,0.00043,7,False
6,medium:3,6:medium:3,IDS,N/A,0.000423,7,False
6,medium:3,6:medium:3,IDS,N/A,0.000439,7,False
6,medium:3,6:medium:3,GREEDY,adjacency,0.000572,7,False
6,medium:3,6:medium:3,GREEDY,adjacency,0.000548,7,False
6,medium:3,6:medium:3,GREEDY,adjacency,0.000561,7,False
6,hard:1,6:hard:1,BFS,N/A,0.000973,9,False
6,hard:1,6:hard:1,BFS,N/A,0.001062,9,False
6,hard:1,6:hard:1,BFS,N/A,0.000955,9,False
6,hard:1,6:hard:1,DFS,N/A,0.000666,258,False
6,hard:1,6:hard:1,DFS,N/A,0.000661,258,False
6,hard:1,6:hard:1,DFS,N/A,0.000693,258,False
6,hard:1,6:hard:1,IDS,N/A,0.001401,9,False
6,hard:1,6:hard:1,IDS,N/A,0.00142,9,False
6,hard:1,6:hard:1,IDS,N/A,0.001404,9,False
6,hard:1,6:hard:1,GREEDY,adjacency,0.002079,14,False
6,hard:1,6:hard:1,GREEDY,adjacency,0.00209,14,False
6,hard:1,6:hard:1,GREEDY,adjacency,0.002065,14,False
6,hard:2,6:hard:2,BFS,N/A,0.001009,10,False
6,hard:2,6:hard:2,BFS,N/A,0.001035,10,False
6,hard:2,6:hard:2,BFS,N/A,0.001014,10,False
6,hard:2,6:hard:2,DFS,N/A,0.000388,147,False
6,hard:2,6:hard:2,DFS,N/A,0.000393,147,False
6,hard:2,6:hard:2,DFS,N/A,0.000393,147,False
6,hard:2,6:hard:2,IDS,N/A,0.001756,10,False
6,hard:2,6:hard:2,IDS,N/A,0.001861,10,False
6,hard:2,6:hard:2,IDS,N/A,0.001781,10,False
6,hard:2,6:hard:2,GREEDY,adjacency,0.002077,10,False
6,hard:2,6:hard:2,GREEDY,adjacency,0.002138,10,False
6,hard:2,6:hard:2,GREEDY,adjacency,0.002072,10,False
6,hard:3,6:hard:3,BFS,N/A,0.001158,11,False
6,hard:3,6:hard:3,BFS,N/A,0.001174,11,False
6,hard:3,6:hard:3,BFS,N/A,0.001154,11,False
